"gene","Dim.1","Dim.2","Dim.3"
"A1BG",0.0255235948085275,0.112108884116985,0.00896820029228928
"A1CF",0.527334169915763,-0.241670161429086,0.0566029471695811
"A2M",0.191958787013366,0.0932500475507786,-0.105141778449607
"A2ML1",0.0136700376757,0.0652431657985769,0.134603850681136
"A3GALT2",-0.0149055894220493,-0.0717364753204834,0.0669742458066812
"A4GALT",0.959004761431792,-0.26943751760616,0.022363941310603
"A4GNT",0.672011972811489,-0.20805241020565,0.0571011812484565
"AAAS",-0.00580588202827976,0.0812424647935338,0.102440272884836
"AACS",0.133725542025711,0.173573888240114,0.0319560930512131
"AADAC",2.52920131673703e-14,1.02018931110011e-13,-1.37178170996711e-14
"AADACL2",3.92291399411197e-14,6.88814664789897e-14,1.09801336704436e-14
"AADACL3",0.658692519307641,-0.244385302341529,0.0111843510815791
"AADACL4",-9.9350113432393e-15,2.14735650531972e-15,9.35808585405129e-15
"AADAT",0.146499333914504,0.121708217963138,0.00928714947950684
"AAGAB",0.18749520833117,0.279596258720768,0.0226991595321904
"AAK1",0.13912073098734,0.452042514536955,-0.220252373305029
"AAMDC",0.172573420845175,-0.0582521392062776,0.12033074574081
"AAMP",0.0486268535127178,0.35180420759678,0.146026561064212
"AANAT",0.959004761431764,-0.269437517606182,0.0223639413105471
"AAR2",-0.0125458896561377,0.0400826608395242,0.115888800398379
"AARD",-0.0129568460947517,0.00117322613676183,-0.068560892908693
"AARS2",0.224425725278505,0.107856014645608,-0.0755690430451594
"AARSD1",-0.0099013552087669,0.154512986616762,-0.00779160010576756
"AASDH",0.111079946946569,0.206669350251452,-0.0263148891355576
"AASDHPPT",0.125209212292843,0.34254703045471,0.261536594266823
"AASS",-0.0622146818366568,-0.164115159996608,0.213773658771611
"AATF",0.023209211362546,0.151944178281268,0.189352477841503
"AATK",0.194452174403568,0.175116007284107,-0.297730744891573
"ABAT",0.145228604487453,0.542717179095096,-0.129794771848989
"ABCA1",0.11971891414777,0.252047376984629,-0.0504762510434265
"ABCA10",0.231644001767423,0.3548423788262,-0.175476977528494
"ABCA12",0.259139133601825,-0.0442923515424299,0.0254994784910023
"ABCA13",0.577755337748676,-0.108092268824376,-0.0664967087196054
"ABCA2",0.319787940631559,0.0150749250246818,0.0575880475888369
"ABCA3",0.163971111551231,0.182160609309597,0.0344880803921389
"ABCA4",0.376820359386913,-0.0806907363590605,-0.161205943487686
"ABCA5",0.238388333465403,0.569882265452736,-0.341065950851509
"ABCA6",0.216202968337994,0.474421020949844,-0.200484490222748
"ABCA7",0.41526134886288,-0.00374103610149271,-0.0302145188871564
"ABCA8",0.55207350926314,-0.134280865559957,-0.0495925753706155
"ABCA9",0.246644325440913,0.299268439623161,-0.109650796776082
"ABCB1",0.221880181558517,0.125523233060759,-0.0613512896653192
"ABCB10",-0.00829151647913704,0.0691749897649761,0.037924315800566
"ABCB11",0.959004761431756,-0.2694375176062,0.0223639413105479
"ABCB4",0.260189070498791,-0.0666767599442629,0.0747679441304814
"ABCB5",0.282319473342102,0.0527537913881289,-0.0564788262347357
"ABCB6",0.0456173253270164,0.218729266922685,0.00031694260604893
"ABCB7",0.109791302300382,0.0604659490855055,0.102403850537448
"ABCB8",0.189526611334612,0.134895939537523,-0.0904286496110275
"ABCB9",0.204049124621752,0.171597310705418,-0.0532111305956594
"ABCC1",0.198297614513663,0.220801481788242,-0.0766645114469218
"ABCC10",0.174246469777417,0.106725131254332,0.0547817311052358
"ABCC11",0.611102998528992,-0.073548466435488,-0.0860608303602435
"ABCC12",0.555339363050037,-0.123209625943287,-0.043998855821074
"ABCC2",0.689622492235181,-0.15215935628813,-0.0117449865167975
"ABCC3",0.398255256865449,0.00113978293451273,-0.0519867260347545
"ABCC4",-0.0450140221397165,-0.119466471972812,0.176380025817816
"ABCC5",0.182937416610135,0.5098291918654,-0.153874774501706
"ABCC6",0.331399698757881,-0.0711106081781147,0.0188244940186117
"ABCC8",0.153669307645017,0.233868854490678,-0.171986406966897
"ABCC9",0.316209319491382,-0.0274693770253627,0.0767224116072072
"ABCD1",8.43519552024298e-15,2.87769856767122e-14,-8.84506016735628e-15
"ABCD2",0.186080776090558,0.289489855097964,0.117194890639586
"ABCD3",0.107222389363098,0.0954399794006105,0.140801536030603
"ABCD4",0.1494395359908,0.302279698215395,0.0885041297776495
"ABCE1",0.113366527196959,0.0771246875490534,0.264077849255113
"ABCF1",-1.048051742836e-15,-3.10790642433272e-15,2.88248609231614e-15
"ABCF2",0.0542805458069241,0.401803386451741,0.16397947905703
"ABCF3",0.166605591131658,0.271013418953623,0.112105127229522
"ABCG1",0.232025729487664,0.139779766406897,-0.0168379615833674
"ABCG2",0.697283671743243,-0.117337742354068,0.0408580959407526
"ABCG4",0.203851084913329,0.041725015568765,-0.0154250686085686
"ABCG5",0.375075407534069,0.0386179946685098,-0.0863386515506282
"ABCG8",0.689201535529766,-0.130229413797217,0.0285819096307228
"ABHD1",0.703265807892719,-0.098421209839053,0.0507011311459879
"ABHD10",0.0438739038427784,0.311371327167402,0.291787654988797
"ABHD11",1.95052738212076e-16,3.61896447174192e-16,-6.43442914145059e-15
"ABHD12",0.0114397013855105,0.162837887913026,-0.145496028247561
"ABHD12B",0.00667212034598216,0.0567199820994147,-0.0139891198757477
"ABHD13",0.0104293415778338,0.16825700962946,0.039987110861431
"ABHD14A",0.147836133617746,0.345682967480312,-0.0454968309998809
"ABHD14A-ACY1",1.59501894146559e-15,4.81657982031977e-15,-5.63093806074871e-15
