"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.60369054448365e-18,3.96201035263362,0.9,0.183,3.11372556116945e-14,"9","ELF1"
1.74059320300686e-18,6.39236376519161,0.3,0.009,3.37953576295812e-14,"9","PLAU"
3.9479031552965e-18,6.07906138793334,0.4,0.023,7.66524876632368e-14,"9","LAT2"
1.11102534444965e-17,5.33481809819528,0.45,0.032,2.15716680878345e-13,"9","PIK3CG"
1.78034271023534e-17,4.5158936728346,0.45,0.032,3.45671340619293e-13,"9","TNFRSF10D"
1.91156942422265e-17,5.69014959447608,0.55,0.057,3.7115031940707e-13,"9","CD14"
2.50241261822474e-17,3.33094871582972,0.95,0.276,4.85868433954516e-13,"9","SPP1"
2.6483705185491e-17,4.54278762996797,0.7,0.102,5.14207619881493e-13,"9","PRKCH"
2.84443930524469e-17,6.3337128616583,0.5,0.045,5.52276335506309e-13,"9","HLA-DOA"
3.17064885429961e-17,5.70439185172088,0.55,0.057,6.15613181550813e-13,"9","ADAP2"
4.85231895905083e-17,5.14217258079448,0.6,0.072,9.42126249089308e-13,"9","AOAH"
5.89467393712994e-17,7.32862136243957,0.3,0.011,1.14450989163315e-12,"9","LILRB1"
6.37027239696725e-17,5.60878271712018,0.55,0.059,1.23685208859516e-12,"9","SIGLEC8"
8.56136071268556e-17,6.2274077517551,0.35,0.018,1.66227379597503e-12,"9","PIK3R5"
8.97382208375893e-17,6.21291711373529,0.35,0.018,1.74235729578263e-12,"9","CCR1"
9.65448909455934e-17,5.26080485529797,0.3,0.011,1.87451560259964e-12,"9","HCK"
1.5191685855644e-16,5.32575101930682,0.85,0.213,2.94961772573184e-12,"9","CSF2RA"
2.41405724241876e-16,6.32021127919404,0.25,0.007,4.68713354188026e-12,"9","CCL20"
2.57105303163573e-16,6.47966531248931,0.25,0.007,4.99195656622394e-12,"9","CAPNS2"
2.68928220098154e-16,4.0717933821353,0.7,0.109,5.22151032142575e-12,"9","FCGR1A"
2.93487674798356e-16,4.97688443385269,0.7,0.118,5.69835669388489e-12,"9","SIGLEC14"
3.10494462252921e-16,6.04752997372058,0.25,0.007,6.02856047910271e-12,"9","PTGS1"
3.52091776189435e-16,8.50996241512828,0.15,0,6.83621392649406e-12,"9","LILRA4"
3.52091776189435e-16,7.5304798733666,0.15,0,6.83621392649406e-12,"9","RNASE3"
4.07271008497796e-16,4.74949109595117,0.4,0.027,7.9075739009932e-12,"9","ITGA5"
4.87097272169689e-16,5.06744193111139,0.55,0.061,9.45748063644668e-12,"9","PDGFB"
4.99458725317701e-16,4.33707052493544,0.65,0.093,9.69749061076848e-12,"9","SERPINE1"
5.07824581625187e-16,4.13737095553882,0.9,0.247,9.85992207683462e-12,"9","SP100"
1.22787407478854e-15,5.26979507953611,0.6,0.084,2.38404030360943e-11,"9","KLHL6"
1.3478740795123e-15,2.83724647057554,1,0.337,2.61703231278109e-11,"9","ZFP36L2"
1.61250114285361e-15,3.28650972936959,0.9,0.213,3.13083221896457e-11,"9","ST6GAL1"
1.65533993616108e-15,4.50277868352554,0.7,0.122,3.21400802005036e-11,"9","TGFBR2"
1.76370360453854e-15,5.46557297132751,0.35,0.02,3.42440691857203e-11,"9","VAMP8"
2.22848864569323e-15,3.68272294688937,0.8,0.163,4.32683355447798e-11,"9","SH2B3"
2.25188085733059e-15,5.85821794715971,0.3,0.014,4.37225187259308e-11,"9","RAB32"
3.93200178762203e-15,5.01364330905956,0.45,0.041,7.63437467084693e-11,"9","DOCK8"
4.80419988204211e-15,3.40015380825678,0.7,0.111,9.32783449097295e-11,"9","CDKN1A"
4.86271093430579e-15,4.19201979518569,0.4,0.029,9.44143955004812e-11,"9","SLC1A5"
7.21115788825575e-15,2.86981665787754,1,0.398,1.40011841558374e-10,"9","KCTD12"
7.27510930589472e-15,4.19674186602015,0.65,0.1,1.41253522283252e-10,"9","CCL2"
9.46967037004439e-15,5.59219220695897,0.35,0.023,1.83863119904782e-10,"9","LYVE1"
1.36499193431864e-14,3.57138968710786,0.8,0.176,2.65026833967307e-10,"9","TRIB1"
1.4022724694855e-14,3.50921509642154,0.8,0.172,2.72265222675306e-10,"9","EGR2"
1.61363245540211e-14,6.12257435781655,0.25,0.009,3.13302877540874e-10,"9","DCSTAMP"
1.70622435593822e-14,6.380715814791,0.25,0.009,3.31280520948964e-10,"9","NCF4"
2.04283179495107e-14,5.52431414673587,0.6,0.093,3.96636221307699e-10,"9","BLNK"
2.10327409691805e-14,3.42194449612917,0.9,0.303,4.08371698657609e-10,"9","CMTM6"
2.92842727043943e-14,4.3638765308888,0.8,0.215,5.6858343882852e-10,"9","IL6R"
3.24702076069362e-14,3.69525317620669,0.8,0.206,6.30441550896273e-10,"9","IPCEF1"
3.60524632912387e-14,7.01960445243642,0.2,0.005,6.99994627262691e-10,"9","RAC2"
3.72714735607803e-14,4.85474245598852,0.3,0.016,7.23662930656111e-10,"9","CMTM7"
3.85589929752572e-14,6.66499959512804,0.2,0.005,7.48661407607594e-10,"9","RNASE2"
3.85589929752572e-14,6.38626124008529,0.2,0.005,7.48661407607594e-10,"9","TREML1"
3.88048261750937e-14,3.97545500041361,0.6,0.086,7.5343450501562e-10,"9","VSIR"
4.71522478947285e-14,5.888299652691,0.2,0.005,9.15508045124049e-10,"9","ACY3"
6.44989251122894e-14,3.36597403877303,0.55,0.063,1.25231112998021e-09,"9","CAPG"
8.51342895254825e-14,5.46201101267558,0.35,0.025,1.65296736542677e-09,"9","MRC1"
8.93752753957903e-14,2.57121461124823,1,0.584,1.73531034708466e-09,"9","SERPINB9"
9.78913723521644e-14,4.93111740644925,0.55,0.077,1.90065888558962e-09,"9","CASP10"
1.00237670776839e-13,3.54126035904513,0.55,0.07,1.94621461580311e-09,"9","UCP2"
1.58816981501054e-13,4.33598223061403,0.5,0.061,3.08359051282446e-09,"9","FGL2"
2.15049539530335e-13,5.20726275478436,0.55,0.081,4.17540185952097e-09,"9","RBM47"
2.8187857033615e-13,5.40632299782708,0.3,0.018,5.47295432164669e-09,"9","GMFG"
3.20519309249457e-13,5.33624729011707,0.3,0.018,6.22320290838746e-09,"9","CASP1"
4.4487103364958e-13,6.92133437394735,0.25,0.011,8.63761598934025e-09,"9","NRROS"
5.12073731448915e-13,4.53446642619949,0.3,0.018,9.94242356981214e-09,"9","ADPRH"
6.884478952891e-13,2.62314206819272,0.95,0.443,1.33669043349332e-08,"9","SGK1"
6.90802726834719e-13,2.85358866348212,0.9,0.271,1.34126257442229e-08,"9","HLA-B"
7.13888483339166e-13,2.71843922012361,1,0.367,1.38608587925133e-08,"9","GPX1"
7.96581039299341e-13,3.53909704529162,0.6,0.095,1.5466417459036e-08,"9","DAB2"
9.05434814062729e-13,4.37710955410723,0.35,0.027,1.7579922349842e-08,"9","TMEM273"
1.09006934084288e-12,2.15638464202552,1,0.665,2.11647863218054e-08,"9","CTSB"
1.09814004896918e-12,4.32058692910503,0.6,0.106,2.13214871907857e-08,"9","CXCL8"
1.11522423807292e-12,4.9644594307554,0.75,0.208,2.16531938064239e-08,"9","SCIN"
1.52009435303057e-12,3.50815528906326,0.85,0.31,2.95141519584415e-08,"9","B3GNT5"
1.67894756603644e-12,2.00623367011059,1,0.627,3.25984459421635e-08,"9","B2M"
1.97162957314914e-12,4.77065707200596,0.35,0.029,3.82811597922637e-08,"9","CLEC2B"
2.18551955192037e-12,3.11366398868904,0.9,0.321,4.2434047620086e-08,"9","PLXDC2"
2.36018680709275e-12,3.09796143825613,0.6,0.095,4.58253870465129e-08,"9","TNFAIP3"
2.98275708860528e-12,6.68426704021272,0.15,0.002,5.79132116323601e-08,"9","FCGR3B"
3.08822286597176e-12,4.96221987036039,0.3,0.02,5.99609351657077e-08,"9","FGR"
3.89492062924568e-12,4.06529126294923,0.5,0.07,7.56237789374341e-08,"9","IER3"
5.46019829446498e-12,3.79488272979464,0.6,0.109,1.06015210085332e-07,"9","IRAK3"
6.78822769653872e-12,2.56325950803334,0.95,0.498,1.31800228955996e-07,"9","OGFRL1"
7.177693613239e-12,5.74242874067234,0.45,0.059,1.39362099194649e-07,"9","PTAFR"
7.37933404342147e-12,5.65813928819559,0.25,0.014,1.43277149787071e-07,"9","MYO1F"
7.37933404342147e-12,6.02653317382119,0.25,0.014,1.43277149787071e-07,"9","TNFSF18"
7.72133492750408e-12,5.70258639351528,0.25,0.014,1.49917438952419e-07,"9","ADORA3"
8.45257636450787e-12,6.15225977685578,0.25,0.014,1.64115222693285e-07,"9","ILDR1"
8.56918510047229e-12,1.61877902836335,1,0.812,1.6637929791077e-07,"9","SAT1"
9.10966410090554e-12,4.67762056009663,0.5,0.075,1.76873238183182e-07,"9","LYN"
